"category_1","category_2","category_3","description"
"7","0","0","1964. O carismático padre Flynn (Philip Seymour Hoffman) tenta acabar com os rígidos costumes da escola St. Nicholas, localizada no Bronx. A diretora do local é a irmã Aloysius Beauvier (Meryl Streep), que acredita no poder do medo e da disciplina. A escola aceitou recentemente seu primeiro aluno negro, Donald Miller (Joseph Foster), devido às mudanças políticas da época. Um dia a irmã James (Amy Adams) conta à diretora suas suspeitas sobre o padre Flynn, de que esteja dando atenção demais a Donald. É o suficiente para que a irmã Aloysius inicie uma cruzada moral contra o padre, tentando a qualquer custo expulsá-lo da escola."
"13","5","1","Em Hong Kong, na última noite noite do controle britânico sobre o local, o inspetor Lee (Jackie Chan), um grande amigo do cônsul Han (Tzi Ma), consegue impedir que peças preciosas da história da China sejam contrabandeadas para fora do país. Dois anos depois, o chefe do crime Juntao (Tom Wilkinson) resolve se vingar e sequestra a filha de Han, que agora vive em Los Angeles como diplomata chinês. Como não confia no FBI, Han chama Lee para ajudá-lo a resgatar sua filha. Mas os oficiais do FBI não desejam nenhuma ajuda externa no caso e, para evitar que Lee atrapalhe nas investigações, designam um detetive rebelde e tagarela, James Carter (Chris Tucker), para acompanhá-lo. A intenção do FBI é que Carter mantenha Lee o mais longe possível do caso, mas ele não sabe disso. Até que, quando Carter descobre a verdadeira intenção de sua designação para o caso, resolve ajudar Lee a enfim encontrar a jovem sequestrada."
"5","0","0","Em Reno, Nevada, Deloris Van Cartier (Whoopi Goldberg) é uma cantora que acidentalmente testemunha um brutal assassinato cometido pelo seu namorado, Vince LaRocca (Harvey Keitel), um gângster. Enquanto tentam capturar Vince, um detetive, Eddie Souther (Bill Nunn), é encarregado de protegê-la. Deloris é colocada no programa de proteção às testemunhas e é mandada para um convento em São Francisco disfarçada de freira, usando o nome de irmã Mary Clarence. Mas seu jeito extrovertido, que não é aprovado pela Madre Superiora (Maggie Smith), acaba fazendo ela dar uma nova vida ao coral, chamando a atenção das pessoas e de Vince."
"5","7","0","Ren MacCormack (Kenny Wormaid) vai morar com os tios em uma cidade do interior, após a morte da mãe. Apaixonado pela dança, ele enfrenta problemas com o reverendo Shawn Moore (Dennis Quaid), que baniu a dança da cidade devido a um grave acidente."
"11","1","5","A humanidade sempre buscou vida fora da Terra e, em busca de algum contato, enviou imagens e sons variados sobre a cultura terrestre nos mais diversos satélites já lançados no universo. Um dia, um deles foi encontrado. Disposta a conquistar o planeta, a raça alienígena resolveu criar monstros digitais inspirados em videogames clássicos dos anos 1980. Para combatê-los, a única alternativa é chamar especialistas nos jogos: Sam Brenner (Adam Sandler), Eddie Plant (Peter Dinklage), Ludlow Lamonsoff (Josh Gad) e a tenente-coronel Violet Van Patten (Michelle Monaghan)."
"13","0","0","Cameron Poe (Nicolas Cage) conquistou a liberdade condicional e pega carona em um voo que transporta diversos criminosos do país, entre eles, o psicopata Cyrus (John Malkovich). Mas o que era para ser apenas uma viagem torna-se um grande pesadelo porque os bandidos assumem o controle do avião para sair do país e dão início a um insano plano de fuga. Agora, Poe terá que fingir que está de acordo com eles para se manter vivo e depois tentar reverter a situação."
"7","10","0","Joe Darrow (Kevin Costner) é um médico que ficou viúvo recentemente e acredita que sua falecida esposa, Emily (Susana Thompson) esteja tentando falar com ele do mundo dos mortos, usando para isso pacientes que estejam à beira da morte. Além disto, Joe passa a ser perseguido por estranhas e misteriosas libélulas, que o fazem se lembrar cada vez mais da falecida esposa."
"15","0","0","Melanie Daniels (Tippi Hedren) é uma bela e rica socialite que sempre vai atrás do que quer. Um dia ela conhece o advogado Mitch Brenner (Rod Taylor) em um pet shop e fica interessada nele. Após o encontro ela decide procurá-lo em sua cidade. Ela dirige por uma hora até a pacata cidade de Bodega Bay, na Califórnia, onde Mitch costuma passar os finais de semana. Entretanto, Melaine só não sabia que iria vivenciar algo assustador: milhares de pássaros se instalaram na localidade e começam a atacar as pessoas."
"1","0","0","Após ter sua esposa e filho assassinados, Frank Castle (Thomas Jane) decidiu por dedicar sua vida a eliminar o crime das ruas da cidade em que vive. Para tanto Castle não apenas persegue os bandidos como também os elimina, usando para tanto sua experiência como agente secreto do FBI. Seu novo alvo é Howard Saint (John Travolta), um homem ligado ao submundo do crime que decide se vingar da sociedade após ter seu filho morto."
"1","0","0","Mike Banning (Gerard Butler) é um dedicado funcionário do serviço secreto americano, que tem por função proteger o presidente Benjamin Asher (Aaron Eckhart) e sua família. Ao levá-los para uma festa de Natal, uma intensa nevasca faz com que o carro em que estão o presidente e sua esposa, Margaret (Ashley Judd), sofra um acidente. Mike consegue salvar Benjamin, mas a primeira-dama morre. A partir de então, Mike é deslocado para um serviço burocrático de escritório em Washington, que ele detesta. Dezoito meses depois, a Casa Branca é atacada por terroristas norte-coreanos. Percebendo o pânico na população e o perigo que o presidente corre, Mike segue para a Casa Branca para ajudar no que pode. Com toda a equipe de segurança local dizimada, ele se torna a única esperança dentro da Casa Branca para combater os terroristas e salvar o presidente."
"3","1","0","Releitura da clássica lenda de Tarzan, na qual um pequeno garoto órfão é criado na selva, e mais tarde tenta se adaptar à vida entre os humanos. Na década de 30, Tarzan, aclimatado à vida em Londres em conjunto com sua esposa Jane, é chamado para retornar à selva onde passou a maior parte da sua vida onde servirá como um emissário do Parlamento Britânico."
"5","0","0","Após os eventos do colégio e da faculdade, os garotos estão enfim se tornando adultos. Jim (Jason Biggs) e Michelle (Alyson Hannigan) estão prestes a se casar, já que a avó de Jim adoece e diz que gostaria de vê-lo se casar antes de morrer. Os pais e amigos de Jim já planejam os preparativos para o grande casamento. Enquanto Stifler (Seann William Scott) organiza a despedida de solteiro, Finch (Eddie Kaye Thomas) prepara rituais hedonistas para o noivo. No entanto, a situação se complica de vez após Stifler se interessar por Cadence (January Jones), irmã caçula de Michelle que será dama de honra no casamento e não vê a hora de perder a virgindade."
"7","3","0","No final do século XVIII Mendoza (Robert De Niro), um mercador de escravos, fica com crise de consciência por ter matado Felipe (Aidan Quinn), seu irmão, num duelo, pois Felipe se envolveu com Carlotta (Cherie Lunghi). Ela havia se apaixonado por Felipe e Mendoza não aceitou isto, pois ela tinha um relacionamento com ele. Para tentar se penitenciar Mendoza se torna um padre e se une a Gabriel (Jeremy Irons), um jesuíta bem intencionado que luta para defender os índios, mas se depara com interesses econômicos."
"10","3","0","Percy Jackson (Logan Lerman) e seus amigos Annabeth (Alexandra Daddario) e Grover (Brandon T. Jackson) levam uma vida normal no Acampamento Meio-Sangue, apesar de Percy sentir falta do pai, Poseidon, que nunca mais manteve contato. Um dia, o local é atacado por um monstro enviado por Luke (Jake Abel), que consegue romper a proteção mágica do acampamento. Com o local em perigo, Percy e os amigos partem em uma aventura em busca do velocino de ouro, um objeto místico que pode revitalizar a árvore mágica responsável pela proteção do acampamento. O que eles não esperavam era que Luke estaria atrás do mesmo objeto, já que deseja trazer à vida o poderoso Cronos, derrotado por Zeus, Poseidon e Hades há milênios atrás."
"0","0","0","Uma violenta tempestade faz com que um grupo de pessoas busque abrigo em um motel desolado, gerenciado por um jovem bastante nervoso (John Hawkes). Entre eles estão um motorista de limusine (John Cusack), uma estrela da TV da década de 80 (Rebecca De Mornay), um policial (Ray Liotta) encarregado de escoltar um assassino (Jake Busey), um casal de recém-casados (Clea DuVall e William Lee Scott) e uma família em crise. De início todos se sentem aliviados por encontrarem um lugar para ficar em meio à tempestade, mas logo entram em pânico ao perceber que, um a um, todos estão sendo assassinados em nome de um misterioso segredo que une a presença de todos naquele lugar."
"1","0","0","Após cair em desgraça em Los Angeles devido a uma operação fracassada, Ray Owens (Arnold Schwarzenegger) parte para o interior e assume a posição de xerife em uma pequena cidade na fronteira dos Estados Unidos com o México. O que ele não esperava era que um poderoso chefão das drogas, que escapou recentemente da prisão, quisesse cruzar a fronteira exatamente na cidade onde trabalha. Para enfrentá-lo Ray precisa reunir todo o pessoal que tem à disposição."
"14","5","0","Num apressado dia de compras no inverno de 1990, Jonathan Trager (John Cusack) conhece Sara Thomas (Kate Beckinsale). Dois estranhos no meio da massa em NY, seus caminhos se cruzam em um feriado, sendo que logo sentem entre eles uma atração mútua. Apesar do fato de ambos estarem envolvidos em outras relações, Jonathan e Sara passam a noite andando por Manhattan. Quando a noite chega ao fim, os dois são forçados a determinar algo como seu próximo passo. Quando Jonathan sugere uma troca de telefones, Sara rejeita e propõe uma idéia que dará ao destino o controle de seu futuro. Se eles tiverem que ficar juntos, ela diz a ele, eles encontrarão o caminho de volta para a vida um do outro."
"15","1","10","Desde que foi capturada pela Corporação Umbrella, Alice (Milla Jovovich) passou por várias experiências biogênicas. Ela teve seus genes modificados, o que fez com que adquirisse poderes, sentidos e agilidade sobre-humanos. Agora ela precisa retornar à cidade de Racoon, onde recebe o apoio de Jill Valentine (Sienna Guillory) e Carlos Olivera (Oded Fehr) para eliminar um vírus mortal que ameaça fazer com que todo ser humano retorne como morto-vivo."
"7","0","0","Um médico (Luiz Carlos Vasconcelos) se oferece para realizar um trabalho de prevenção a AIDS no maior presídio da América Latina, o Carandiru. Lá ele convive com a realidade dos cárceres, que inclui violência, superlotação das celas e instalações precárias. Porém, apesar de todos os problemas, o médico logo percebe que os prisioneiros não são figuras demoníacas, existindo dentro da prisão solidariedade, organização e uma grande vontade de viver."
"13","1","0","A polícia de Chicago, ao investigar um acidente, descobre que as impressões digitais do ferido conferem com as impressões digitais de um suspeito por duplo assassinato. Assim Mark Sheridan (Wesley Snipes), o acidentado, é preso ainda no hospital. Sua remoção para Nova York, local onde ele cometeu crimes, é providenciada. Mas durante o voo (no qual há outros detentos) uma tentativa de fuga provoca a queda do avião, num acidente que matou e feriu diversos civis. Sheridan consegue fugir. Samuel Gerard (Tommy Lee Jones), um experiente agente, fica encarregado de recapturá-lo, mas em pouco tempo fica claro que o fugitivo não um mero assassino e que uma intricada trama se esconde atrás da 'versão oficial'."
"2","5","0","Cadu Maverick (Shia LaBeouf) é um jovem pinguim, que tem o lendário surfista Big Z como ídolo. Um dia ele decide deixar sua família e sua cidade, Shiverpool, na Antártida, para participar do Big Z Memorial Surf Off, um torneio de surf realizado na ilha Pen-Gu. Cadu acredita que caso vença o torneio ganhará respeito e admiração, seu grande sonho. Mas lá ele conhece um veterano surfista chamado Grego (Jeff Bridges), com quem aprende que o campeão nem sempre é aquele que chega em 1º lugar nas competições."
"2","9","0","Tinker Bell, também conhecida como Sininho, é uma fada do verão que habita o Vale das Fadas. Curiosa e arteira, ela decide quebrar uma importante regra e vai parar no Bosque do Inverno. Lá, ela não pode voar porque está agasalhada e quando buscava entender a razão de suas asas terem um brilho especial, acaba conhecendo uma fada do inverno que tem o mesmo 'poder'. Com a ajuda do Guardião, um sábio local, elas descobrirão um importante segredo que mudará para sempre as suas vidas, mas também colocarão em risco o dia a dia de outros seres de toda a região."
"2","7","9","Em Paris, durante a Idade Média, vive Quasímodo, um corcunda que mora enclausurado desde a infância nos porões da catedral de Notre Dame. Um dia Quasímodo decide sair da escuridão em que vive e conhece Esmeralda, uma bela cigana por quem se apaixona. Para conseguir concretizar seu amor ele terá antes que enfrentar o poderoso Claude Frollo e seu fiel ajudante Febo."
"1","0","0","Nova York, em um indeterminado futuro. As gangues de delinqüentes juvenis se reúnem numa convenção. O líder do principal grupo prega a união entre eles, pois juntos poderão controlar a cidade - o contingente deles é maior que a força policial. O líder acaba sendo assassinado, com a culpa recaindo sobre um bando da periferia, que nada teve a ver com o atentado. Assim eles se vêem obrigados a atravessar a cidade, enquanto são caçados pelos membros das outras gangues."
"4","5","7","A incrível história de Paul Potts (James Corden), tímido vendedor que surpreendeu o Reino Unido ao interpretar impecavelmente uma ária de ópera no programa Britain's Got Talent. O vídeo de sua primeira apresentação somou milhões de visualizações no Youtube e o cantor tornou-se uma estrela do dia para a noite."
"7","0","0","Em uma noite de outono em 2003, Mark Zuckerberg (Jesse Eisenberg), analista  de sistemas graduado em Harvard, se senta em seu computador e começa a  trabalhar em uma nova ideia. Apenas seis anos e 500 milhões de amigos  mais tarde, Zuckerberg se torna o mais jovem bilionário da história com o  sucesso da rede social Facebook. O sucesso, no entanto, o leva a  complicações em sua vida social e profissional."
"2","3","9","Alex (Ben Stiller), Marty (Chris Rock), Melman (David Schwimmer), Gloria (Jada Pinkett Smith), rei Julien (Sacha Baron Cohen), Maurice (Cedric the Entertainer), os pingüins e os chimpanzés estão no longínquo litoral de Madagascar. Para deixar o local os pingüins consertam um velho avião de guerra, mas logo em seu 1º vôo ele cai. Isto faz com que os animais do zoológico de Nova York tenham que lidar, pela 1ª vez na vida, com espécies semelhantes a eles, só que habituadas à vida selvagem."
"7","0","0","Henry Sawyer (J.K. Simmons) é um pai que luta para se conectar com o filho Gabriel (Lou Taylor Pucci), que descobre um tumor no cérebro que o impede de produzir novas memórias. Os dois tentam superar uma distância emocional e acabam encontrando uma forma de se relacionarem através da música."
"1","0","0","Durante o dia um motorista (Ryan Gosling) trabalha como mecânico e dublê em filmes de Hollywood, enquanto que à noite ele presta serviços para a máfia. Ele é vizinho de Irene (Carey Mulligan), que é casada e tem um filho com Standard (Oscar Isaac). Percebendo a situação difícil de Standard, que saiu há pouco tempo da prisão, o motorista o convida para realizar um assalto. Só que o golpe dá errado, o que coloca em risco as vidas do motorista, Irene e seu filho."
"3","10","9","Lúcia (Georgie Henley), Edmundo (Skandr Keynes) e Eustáquio (Will Poulter) retornam para Nárnia, onde encontram com príncipe Caspian (Ben Barnes), agora rei, e outros amigos. Buscando os Sete Fidalgos Desaparecidos de Telmar, eles começam uma nova aventura a bordo do navio Peregrino da Alvorada e irão encarar guerreiros, dragões, anões e tritões."
"5","14","0","Antes de morrer, a mãe de Amy (Kimberly Williams) elaborou um roteiro para que a filha, na época com 7 anos, vivesse bem sem sua orientação. No roteiro,  estava especificado quando Amy deveria ir a um acampamento de verão, que profissão seguir e até mesmo quando deveria se apaixonar: apenas lá pelo 7º namorado. Amy segue fielmente as instruções e, já adulta, conhece Daniel (Brad Rowe), um jovem que tem todas as qualidades que a atraem. Porém há um problema: ele é seu 6º namorado. Ela então elabora um plano para fazer com que o 6º torne-se seu 7º namorado, o que evitaria problemas com o roteiro deixado pela mãe."
"4","0","0","Ex-funcionário terceirizado da Agência de Segurança dos Estados Unidos, Edward Snowden (Joseph Gordon-Levitt) torna-se inimigo número um da nação ao divulgar a jornalistas uma série de documentos sigilosos que comprovam atos de espionagem praticados pelo governo norte-americano contra cidadãos comuns e lideranças internacionais."
"1","0","0","Randall 'Memphis' Raines (Nicolas Cage) um lendário ladrão de carros. Nenhuma fechadura ou alarme pode pará-lo e ele consegue roubar seu carro em apenas 60 segundos. Durante anos, Memphis iludiu a polícia local, aplicando todo tipo de golpe imaginável. Mas quando o cerco ficou muito intenso, ele decidiu por largar a vida de crimes e partir para uma vida completamente diferente. Mas agora, quando seu irmão caçula (Giovanni Ribisi) está tentando seguir seus passos no mundo do assalto a automóveis, Memphis volta a agir para tentar salvar a vida de seu irmão."
"2","5","9","A primavera chegou, o que faz com que os animais da floresta despertem da hibernação. Ao acordar eles logo têm uma surpresa: surgiu ao redor de seu habitat natural uma grande cerca verde. Inicialmente eles temem o que há por detrás da cerca, até que RJ (Bruce Willis) revela que foi construída uma cidade ao redor da floresta em que vivem, que agora ocupa apenas um pequeno espaço. RJ diz ainda que no mundo dos humanos há as mais diversas guloseimas, convencendo os demais a atravessar a cerca. Entretanto esta atitude desagrada o cauteloso Verne (Garry Shandling), que achava melhor permanecer onde estavam inicialmente."
"7","14","0","Sarah Jordan (Angelina Jolie) é uma socialite casada com Henry Bauford (Linus Roache), filho de um influente empresário americano. Após conhecer Nick Callahan (Clive Owen), um médico que se dedica a causas humanitárias na África, Sarah se dispõe a ajudá-lo. Ela arrecada fundos para comprar medicamentos e comida para refugiados na Etiópia e vai até lá entregá-los à equipe de Nick. Ver o sofrimento e a miséria do povo etíope de perto faz com que Sarah decida mudar de vida e assim ela passa a trabalhar para uma ONG que ajuda causas humanitárias."
"2","5","9","Após a coroa do Rei Netuno ser roubada, Bob Esponja e seu melhor amigo Patrick partem em uma viagem pela Fenda do Bikini para reencontrá-la. No caminho eles precisam enfrentar monstros marinhos, vilões perigosos e vários bandidos."
"2","5","0","Um bebê falante que usa terno e carrega uma maleta misteriosa une forças com seu irmão mais velho invejoso para impedir que um inescrupuloso CEO acabe com o amor no mundo. A missão é salvar os pais, impedir a catástrofe e provar que o mais intenso dos sentimentos é uma poderosa força."
"2","3","10","Mei é uma jovem que encontra uma pequena passagem em seu quintal, que a leva a um lendário espírito da floresta, conhecido como Totoro. Sua mãe está no hospital e seu pai divide o tempo entre dar aulas na faculdade e cuidar de sua mulher doente. Quando Mei tenta visitar a mãe por conta própria, se perde na floresta, e só o grande e fofo Totoro pode ajudá-la a achar o caminho de volta para casa."
"4","7","0","Baseado em fatos reais, o filme conta a história de Kimani Maruge (Oliver Litondo), um queniano de 84 anos que está determinado a aproveitar sua última chance de ir à escola. Desta forma, para aprender a ler e escrever, ele terá que se juntar a crianças de seis anos de idade."
"1","3","0","Veterano (Sylvester Stallone) da Guerra do Vietnã refugia-se em mosteiro budista, em busca de paz espiritual. O retiro é interrompido quando ele decide libertar seu mentor, que caiu nas mãos dos soviéticos, durante a ocupação do Afeganistão."
"14","0","0","Jesse (Ethal Hawke) e Celine (Julie Delpy) se conheceram por acaso em uma viagem de trem que ia de Budapeste a Viena, passando o dia juntos e se separando no início do dia seguinte. Nove anos depois eles se reencontram, novamente por acaso. Jesse agora é um conhecido escritor, enquanto que Celine trabalha para uma organização de proteção ao meio-ambiente. Jesse agora está em Paris para promover seu mais novo livro e, após reencontrar Celine, passa com ela algumas horas, onde discutem o que aconteceu em suas vidas em todos estes anos."
"10","5","1","Em Edge City vive Stanley Ipkiss (Jim Carrey), um cara decente que trabalha em um banco mas é socialmente desajeitado e sem muito sucesso com as mulheres. Após um dos piores dias da sua vida, ele acha no mar a estranha máscara de Loki, um deus escandinavo. Quando Stanley coloca a máscara, se transforma em O Máskara, um ser com o rosto verde que possui a coragem para fazer as coisas mais arriscadas e divertidas que Stanley receia fazer, inclusive flertar com Tina Carlyle (Cameron Diaz), a bela e sensual cantora que se apresenta no Coco Bongo, a discoteca do momento. O Máskara tem velocidade sobre-humana e um humor não-convencional e, enquanto isto, o gângster Dorian Tyrrell (Peter Greene), que namora Tina, se esforça para destruir o Máskara e se apoderar da máscara para usar seus poderes para o mal."
"10","0","0","Em Nova York são narrados em flashback fatos angustiantes da vida de David Aames (Tom Cruise), um jovem empresário que é dono de um império editorial. David tem sua vida modificada quando conhece Sofia Serrano (Penélope Cruz), uma bela jovem por quem se apaixona .Tal relacionamento desperta ciúmes em Julie Gianni (Cameron Diaz), uma 'amizade colorida' de Davis, que quer muito mais que mero envolvimento sexual com ele. Um dia, após sair da casa de Sofia, David encontra Julie, que usando o pretexto de querer conversar com ele o convence a entrar no carro dela. Em um ímpeto de loucura, e cega por se sentir preterida, ela lança o carro por cima de um viaduto. Ela não resiste ao impacto e morre. David sobrevive, mas fica com o rosto bem desfigurado e entra em coma, ficando neste estado por três semanas. Ao se ver David fica traumatizado e oferece qualquer quantia para reconstruírem seu rosto. Repentinamente realidade e fantasia se confundem de forma assustadora."
"7","0","0","Prendergast (Robert Duvall), um policial em seu último dia de trabalho pois vai se aposentar, arrisca sua vida para tentar deter William Foster (Michael Douglas), um homem emocionalmente perturbado que perdeu seu emprego e vai ao encontro de Beth (Barbara Hershey), sua ex-mulher, e da filha, sem requer reconhecer que o seu casamento já acabou há muito tempo. Em seu caminho, William vai eliminando quem cruza seu destino."
"10","0","0","Quando a família Grace se muda de Nova York para o velho casarão de um tio-avô, Arthur Spiderwick (David Strathairn), fatos estranhos começam a acontecer. Misteriosos desaparecimentos e acidentes ocorrem diariamente, o que intrigam os irmãos Jared (Freddie Highmore), Simon (Freddie Highmore) e Mallory (Sarah Bolger). Eles decidem investigar a casa e encontram um livro mágico, que os leva a um mundo repleto de criaturas mágicas e, às vezes, perigosas."
"7","5","0","Em virtude da morte do marido, uma viúva e as três filhas passam a enfrentar dificuldades financeiras, pois praticamente toda a herança foi para um filho do primeiro casamento, que ignora a promessa feita no leito de morte de seu pai que ampararia as meias-irmãs. Neste contexto, enquanto uma irmã prática (Emma Thompson), usando a razão como principal forma de conduzir as situações, a outra (Kate Winslet) se mostra emotiva, sem se reprimir nunca com uma sensibilidade flor da pele."
"13","7","0","A trama gira em torno da jovem Emily Hawkins (Rooney Mara), que acaba de ver o marido (Channing Tatum) ser libertado da prisão por um crime de colarinho branco. Mesmo aliviada, Emily tem crises de depressão e busca a ajuda de medicamentos prescritos para conter a ansiedade. Ela também busca amparo num tratamento psicológico, lidando com  profissionais (Jude Law e Catherine Zeta-Jones). O tratamento, por mais que comece de forma positiva, vai gerar consequências inesperadas na vida da jovem."
"6","0","0","Adultos, adolescentes e crianças amam, sofrem, se relacionam e compartilham tudo, sempre conectados. A internet é onipresente e, nesta grande rede em que o mundo se transformou, as ideias de sociedade e interação social ganham um novo significado. Algumas situações como um casal que não tem intimidade; uma garota que quer ser uma anoréxica melhor; um adolescente que vive em num mundo de pornografia virtual, fazem o expectador repensar a relações humanas."
"5","0","0","O casal Verneuils tem quatro filhas. Católicos, conservadores e um pouco preconceituosos, eles não ficaram muito felizes quando três de suas filhas se casaram com homens de diferentes nacionalidades e religiões. Quando a quarta anuncia o seu casamento com um católico, o casal fica nas nuvens e toda a família vai se reunir. Mas logo eles vão descobrir que nem tudo é do jeito que eles querem."
"3","4","0","Em 1935, quando pilotava sua motocicleta, T.E.Lawrence (Peter O'Toole) morre em um acidente e, em seu funeral, é lembrado de várias formas. Deste momento em diante, em flashback, conhecemos a história de um tenente do Exército Inglês no Norte da África, que durante a 1ª Guerra Mundial, insatisfeito em colorir mapas, aceita uma missão como observador na atual Arábia Saudita e acaba colaborando de forma decisiva para a união das tribos árabes contra os turcos."
"3","10","0","Há milhares de anos Thulsa Doom (James Earl Jones), um demoníaco feiticeiro, comanda um ataque por motivos até hoje não revelados que poderia ser simplesmente pelo prazer de matar ou para descobrir o segredo do aço, que era guardado pelos moradores desta aldeia. Conan (Arnold Schwarzenegger), um cimério, vê seus pais serem mortos na sua frente e seu povo ser massacrado, sendo que ele, ainda criança, é levado para um campo de escravos. Os anos passam e ele desenvolve uma enorme força física, o que faz Conan se tornar gladiador. Ele ainda se mantém determinado a vingar a morte dos pais e quando é libertado tenta alcançar seu objetivo. Conan descobre que Thulsa Doom lidera o misterioso culto da serpente e, tentando se aproximar do feiticeiro, faz amizade com dois ladrões, Valeria (Sandahl Bergman) e Subotai (Gerry Lopez). Ao trio é prometida uma vultosa recompensa pelo rei Osric (Max von Sydow), que quer que o trio de guerreiros resgate sua filha, que se tornou uma seguidora de Thulsa Doom."
"7","14","0","A jovem irlandesa Ellis Lacey (Saoirse Ronan) se muda de sua terra natal e vai morar em Brooklyn para tentar realizar seus sonhos. No ínicio de sua jornada nos Estados Unidos, ela sente falta de sua casa, mas ela vai tentando se ajustar aos poucos até que conhece e se apaixona por Tony (Emory Cohen), um bombeiro italiano. Logo, ela se encontra dividida entre dois países, entre o amor e o dever."
"14","7","0","A história de amor entre dois vampiros eruditos, Eve (Tilda Swinton) e Adam (Tom Hiddleston), cansados da sociedade atual e profundamente incomodados com a evolução da humanidade. Há séculos eles vivem uma relação de cumplicidade e muito amor, que será abalada pela aproximação da irresponsável irmã caçula da vampira, Ava (Mia Wasikowska)."
"3","5","7","Rio de Janeiro, Brasil. Gardo (Eduardo Luís) e Raphael (Rickson Tevez) são garotos que vivem em um lixão e sempre buscam algo valioso entre os restos despejados no local todo dia. Um dia, Raphael encontra uma carteira com uma boa quantia em dinheiro e a divide com o amigo. Entretanto, logo surge o policial Frederico (Selton Mello), que está justamente procurando a tal carteira a mando de um candidato a prefeito, Santos (Stepan Nercessian). Os garotos não revelam que a encontraram e pedem ajuda a Rato (Gabriel Weinstein), também morador do lixão, para que possam descobrir o que ela tem de tão importante. É quando percebem que, através de uma chave, embarcarão em uma verdadeira caça ao tesouro."
"5","0","0","Após se formar no 2º grau, Scott Thomas (Scott Mechlowicz) pensa em passar o verão com Fiona (Kristin Kreuk), sua namorada. Porém ela lhe dá um tremendo fora. Para piorar Scott segue os conselhos de Cooper Harris (Jacob Pitts), seu melhor amigo, e manda um e-mail desaforado para um amigo, Mieke (Jessica Boehrs), que mora em Berlim, pois Cooper acha que Mieke é gay. Só então descobre que Mieke é uma bela jovem, mas Scott não pode nem tentar se retratar, pois seu e-mail foi bloqueado por ela. Assim ele decide ir até Berlim achar Mieke, juntamente com Cooper. Viajando de um jeito econômico, eles vão primeiramente para Londres, que seria a primeira etapa de muitas confusões na tentativa de achar Mieke."
"7","14","0","Nimer, um estudante palestino, e Roy, um advogado israelense, apaixonam-se desde a primeira vez em que se encontram. À medida em que a relação dos dois se desenvolve, Nimer tem que lidar com sua família conservadora e com sua condição de palestino morando em Israel. A situação piora quando um amigo próximo é capturado em Tel Aviv e assassinado na Cisjordânia."
"1","13","0","Sean Boswell (Lucas Black) é um adolescente superficial e infeliz, que usa as corridas de rua como válvula de escape. Seu envolvimento irresponsável nas corridas fez com que Sean tivesse problemas com a polícia anteriormente. Após bater com o carro, e como forma de evitar a prisão, Sean é enviado para Tóquio, onde passa a morar com seu pai (Brian Goodman). Em sua nova cidade Sean fica inteiramente deslocado até conhecer Twinkie (Bow Wow), que lhe apresenta as corridas de drift. O drift é uma mistura de derrapagem e velocidade, que corre em circuitos bastante perigosos. Sean logo se empolga com a novidade, o que faz com que se envolva com os corredores locais."
"3","1","0","Benjamin Franklin Gates (Nicolas Cage) é um caçador de tesouros, função que já está na 3ª geração em sua família. Durante toda sua vida Benjamin procurou um tesouro que ninguém acredita existir, tendo sido acumulado durante séculos e transportado por vários continentes para evitar que fosse roubado. As investigações de Benjamin sobre a localização deste tesouro fazem com que ele descubra que existe um mapa codificado escondido na Declaração de Independência dos Estados Unidos. Só que para conseguir lê-lo Benjamin terá que enganar o FBI e roubar um dos documentos mais vigiados do país."
"7","12","14","O filme conta sobre os anos que antecederam, durante e após a Revolução Russa pela ótica de Yuri Zhivago (Omar Sharif), um médico e poeta. Yuri fica órfão ainda criança e vai para Moscou, onde é criado. Já adulto se casa com a aristocrática Tonya (Geraldine Chaplin), mas tem um envolvimento com Lara (Julie Christie), uma enfermeira que se torna a grande paixão da sua vida. Lara antes da revolução tinha sido estuprada por Victor Komarovsky (Rod Steiger), um político sem escrúpulos que já tinha se envolvido com a mãe de Lara, e se casou com Pasha Strelnikoff (Tom Courtenay), que se torna um vingativo revolucionário. A história é narrada em flashback por Yevgraf de Zhivago (Alec Guiness), o meio-irmão de Yuri que procura a sua sobrinha, que seria filha de Jivago com Lara. Enquanto Strelnikoff representa o 'mal', Yevgraf representa o 'bom' elemento da Revolução Bolchevique."
"15","1","0","Num futuro próximo, o governo dos Estados Unidos instituem a Noite de Crime, um evento onde os assassinatos são permitidos, para que os cidadãos liberem os seus instintos violentos. Faltando poucas horas para o início deste feriado sangrento, cinco pessoas se encontram nas ruas: o jovem casal Shane e Liz, que não pode voltar para casa já que o carro parou de funcionar; a garçonete Eva e sua filha adolescente, sequestradas dentro de seu próprio apartamento por vizinhos selvagens, e o Sargento, um homem misterioso que vai às ruas em busca de vingança. Apesar de serem muito diferentes, eles tentam sobreviver juntos a doze horas de barbárie."
